pnl,class,account,sub_account,extra_info,accrual,accrual_day,accrual_month,accrual_year,hypothesis,scenario,backlog
Variable Cost,Royalties,,,,-3150000,,2,2024,,3 Cost Cut,
Variable Cost,Payroll,,,,-1050000,,2,2024,,3 Cost Cut,
Revenue,Services,,,,18900000,,2,2023,,1 Growth,
Revenue,Subscription,,,,76650000,,2,2023,,1 Growth,
Fixed Costs,Overhead,,,,-9450000,,2,2023,,1 Growth,
Fixed Costs,Payroll,,,,-78750000,,2,2023,,1 Growth,
Variable Cost,Royalties,,,,-2625000,,2,2023,,1 Growth,
Variable Cost,Payroll,,,,-735000,,2,2023,,1 Growth,
Revenue,Services,,,,18900000,,2,2023,,2 Neutral,
Revenue,Subscription,,,,76650000,,2,2023,,2 Neutral,
Fixed Costs,Overhead,,,,-9450000,,2,2023,,2 Neutral,
Fixed Costs,Payroll,,,,-78750000,,2,2023,,2 Neutral,
Variable Cost,Royalties,,,,-2625000,,2,2023,,2 Neutral,
Variable Cost,Payroll,,,,-735000,,2,2023,,2 Neutral,
Revenue,Services,,,,18900000,,2,2023,,3 Cost Cut,
Revenue,Subscription,,,,76650000,,2,2023,,3 Cost Cut,
Fixed Costs,Overhead,,,,-9450000,,2,2023,,3 Cost Cut,
Fixed Costs,Payroll,,,,-78750000,,2,2023,,3 Cost Cut,
Variable Cost,Royalties,,,,-2625000,,2,2023,,3 Cost Cut,
Variable Cost,Payroll,,,,-735000,,2,2023,,3 Cost Cut,
Revenue,Services,,,,22000000,,3,2024,,1 Growth,
Revenue,Subscription,,,,88000000,,3,2024,,1 Growth,
Fixed Costs,Overhead,,,,-16500000,,3,2024,,1 Growth,
Fixed Costs,Payroll,,,,-88000000,,3,2024,,1 Growth,
Variable Cost,Royalties,,,,-3300000,,3,2024,,1 Growth,
Variable Cost,Payroll,,,,-1100000,,3,2024,,1 Growth,
Revenue,Services,,,,20900000,,3,2024,,2 Neutral,
Revenue,Subscription,,,,82500000,,3,2024,,2 Neutral,
Fixed Costs,Overhead,,,,-13200000,,3,2024,,2 Neutral,
Fixed Costs,Payroll,,,,-85800000,,3,2024,,2 Neutral,
Variable Cost,Royalties,,,,-3300000,,3,2024,,2 Neutral,
Variable Cost,Payroll,,,,-1100000,,3,2024,,2 Neutral,
Revenue,Services,,,,16500000,,3,2024,,3 Cost Cut,
Revenue,Subscription,,,,82500000,,3,2024,,3 Cost Cut,
Fixed Costs,Overhead,,,,-11000000,,3,2024,,3 Cost Cut,
Fixed Costs,Payroll,,,,-77000000,,3,2024,,3 Cost Cut,
Variable Cost,Royalties,,,,-3300000,,3,2024,,3 Cost Cut,
Variable Cost,Payroll,,,,-1100000,,3,2024,,3 Cost Cut,
Revenue,Services,,,,19800000,,3,2023,,1 Growth,
Revenue,Subscription,,,,80300000,,3,2023,,1 Growth,
Fixed Costs,Overhead,,,,-9900000,,3,2023,,1 Growth,
Fixed Costs,Payroll,,,,-82500000,,3,2023,,1 Growth,
Variable Cost,Royalties,,,,-2750000,,3,2023,,1 Growth,
Variable Cost,Payroll,,,,-770000,,3,2023,,1 Growth,
Revenue,Services,,,,19800000,,3,2023,,2 Neutral,
Revenue,Subscription,,,,80300000,,3,2023,,2 Neutral,
Fixed Costs,Overhead,,,,-9900000,,3,2023,,2 Neutral,
Fixed Costs,Payroll,,,,-82500000,,3,2023,,2 Neutral,
Variable Cost,Royalties,,,,-2750000,,3,2023,,2 Neutral,
Variable Cost,Payroll,,,,-770000,,3,2023,,2 Neutral,
Revenue,Services,,,,19800000,,3,2023,,3 Cost Cut,
Revenue,Subscription,,,,80300000,,3,2023,,3 Cost Cut,
Fixed Costs,Overhead,,,,-9900000,,3,2023,,3 Cost Cut,
Fixed Costs,Payroll,,,,-82500000,,3,2023,,3 Cost Cut,
Variable Cost,Royalties,,,,-2750000,,3,2023,,3 Cost Cut,
Variable Cost,Payroll,,,,-770000,,3,2023,,3 Cost Cut,
